Company,Date,Open,High,Low,Close,Volume
NSE 20 SHARE INDEX,2014-07-16,4870.96,4870.96,4870.96,4870.96,21234600
NSE 20 SHARE INDEX,2014-07-15,4889.99,4889.99,4889.99,4889.99,19979700
NSE 20 SHARE INDEX,2014-07-14,4902.3,4902.3,4902.3,4902.3,15283700
NSE 20 SHARE INDEX,2014-07-11,4902.18,4902.18,4902.18,4902.18,11052800
NSE 20 SHARE INDEX,2014-07-10,4898.29,4898.29,4898.29,4898.29,21538600
NSE 20 SHARE INDEX,2014-07-09,4892.84,4892.84,4892.84,4892.84,19963800
NSE 20 SHARE INDEX,2014-07-08,4876.01,4876.01,4876.01,4876.01,80597904
NSE 20 SHARE INDEX,2014-07-07,4868.81,4868.81,4868.81,4868.81,31536800
NSE 20 SHARE INDEX,2014-07-04,4885.71,4885.71,4885.71,4885.71,9344400
NSE 20 SHARE INDEX,2014-07-03,4884.69,4884.69,4884.69,4884.69,11031500
NSE 20 SHARE INDEX,2014-07-02,4922.99,4922.99,4922.99,4922.99,33712100
NSE 20 SHARE INDEX,2014-07-01,4925.86,4925.86,4925.86,4925.86,28401300
NSE 20 SHARE INDEX,2014-06-30,4885.04,4885.04,4885.04,4885.04,17541700
NSE 20 SHARE INDEX,2014-06-27,4834.02,4834.02,4834.02,4834.02,36281100
NSE 20 SHARE INDEX,2014-06-26,4856.35,4856.35,4856.35,4856.35,33767800
NSE 20 SHARE INDEX,2014-06-25,4845.6,4845.6,4845.6,4845.6,29136400
NSE 20 SHARE INDEX,2014-06-24,4856.15,4856.15,4856.15,4856.15,35237100
NSE 20 SHARE INDEX,2014-06-23,4843.36,4843.36,4843.36,4843.36,24894500
NSE 20 SHARE INDEX,2014-06-20,4825.52,4825.52,4825.52,4825.52,39997600
NSE 20 SHARE INDEX,2014-06-19,4797.42,4797.42,4797.42,4797.42,27910100
NSE 20 SHARE INDEX,2014-06-18,4790.38,4790.38,4790.38,4790.38,66530700
NSE 20 SHARE INDEX,2014-06-17,4764.11,4764.11,4764.11,4764.11,19737200
NSE 20 SHARE INDEX,2014-06-16,4787.94,4787.94,4787.94,4787.94,19113400
NSE 20 SHARE INDEX,2014-06-13,4836.71,4836.71,4836.71,4836.71,13685700
NSE 20 SHARE INDEX,2014-06-12,4811,4811,4811,4811,25007700
NSE 20 SHARE INDEX,2014-06-11,4832.09,4832.09,4832.09,4832.09,21436300
NSE 20 SHARE INDEX,2014-06-10,4828.65,4828.65,4828.65,4828.65,40115700
NSE 20 SHARE INDEX,2014-06-09,4835.69,4835.69,4835.69,4835.69,25827400
NSE 20 SHARE INDEX,2014-06-06,4847.83,4847.83,4847.83,4847.83,17598100
NSE 20 SHARE INDEX,2014-06-05,4835.53,4835.53,4835.53,4835.53,52379300
NSE 20 SHARE INDEX,2014-06-04,4856.54,4856.54,4856.54,4856.54,27370800
