Company,Date,Open,High,Low,Close,Volume
NGSE ALL SHARE INDEX,2013-12-24,39987.57,39996.56,39816.39,39858.23,610605120
NGSE ALL SHARE INDEX,2013-12-23,39562.75,39906.76,39562.75,39906.76,289738592
NGSE ALL SHARE INDEX,2013-12-20,39637.5,39652.28,39430.42,39562.75,694268224
NGSE ALL SHARE INDEX,2013-12-19,39383.33,39861.7,39318.25,39760.43,714191424
NGSE ALL SHARE INDEX,2013-12-18,39130.37,39383.33,39129.09,39383.33,424819680
NGSE ALL SHARE INDEX,2013-12-17,39763.61,39763.61,39109.45,39130.37,622337344
NGSE ALL SHARE INDEX,2013-12-16,38831.59,39703.84,38638.88,39695.34,264917472
NGSE ALL SHARE INDEX,2013-12-13,38893.35,39372.9,38761.97,38831.59,727348992
NGSE ALL SHARE INDEX,2013-12-12,38833.54,38841.49,38561.19,38841.49,271582464
NGSE ALL SHARE INDEX,2013-12-11,38961.99,38994.77,38810.39,38844.17,389579584
NGSE ALL SHARE INDEX,2013-12-10,38747.51,38964.6,38505.45,38961.6,701328256
NGSE ALL SHARE INDEX,2013-12-09,38614.73,38747.51,38545.75,38747.51,676383360
NGSE ALL SHARE INDEX,2013-12-06,38835.71,38835.71,38676.29,38738.15,512011040
NGSE ALL SHARE INDEX,2013-12-05,38984.43,39006.22,38797.09,38864.84,484624800
NGSE ALL SHARE INDEX,2013-12-04,39057.36,39065.17,38909.7,38990.2,671502400
NGSE ALL SHARE INDEX,2013-12-03,39045.07,39126.78,38890.46,38955.42,308889568
NGSE ALL SHARE INDEX,2013-12-02,38920.85,39045.07,38875.59,39045.07,289053440
NGSE ALL SHARE INDEX,2013-11-29,38928.65,38928.65,38812.4,38920.85,559501568
NGSE ALL SHARE INDEX,2013-11-28,39011.31,39011.44,38808.4,38928.65,252532944
NGSE ALL SHARE INDEX,2013-11-27,38847.21,39012.65,38809.39,39011.31,361518336
NGSE ALL SHARE INDEX,2013-11-26,39100.41,39100.41,38839.66,38975.16,448922016
NGSE ALL SHARE INDEX,2013-11-25,39206.25,39246.64,39173.37,39222.02,545110848
NGSE ALL SHARE INDEX,2013-11-22,39119.88,39250.93,39068.01,39246.05,1162876672
NGSE ALL SHARE INDEX,2013-11-21,38977.56,39151.66,38962.95,39119.88,556874560
NGSE ALL SHARE INDEX,2013-11-20,38255.86,38815.64,38255.86,38815.64,327432128
NGSE ALL SHARE INDEX,2013-11-19,38149.06,38315.14,38114.09,38255.86,785647680
NGSE ALL SHARE INDEX,2013-11-18,37883.53,38064.32,37780.7,38053.75,768004224
NGSE ALL SHARE INDEX,2013-11-15,37772.86,37937.61,37770.59,37883.53,276124928
